ID_Test,MAC_%,Model_Load_kg,Acceleration_m/s2,V_m/s,Fxw_N,Pitch_deg
2103,26,7,0.7,2.649672292,4.298208332,2.524489673
2103,26,7,0.7,2.453672292,4.534021112,2.535475673
2103,26,7,0.7,2.669246292,4.038184472,2.544264673
2103,26,7,0.7,2.762739292,4.338213512,2.553053673
2103,26,7,0.7,2.588116292,4.164507842,2.561842673
2103,26,7,0.7,2.609236292,4.287682202,2.570631673
2103,26,7,0.7,2.539954292,4.366642892,2.574586873
2103,26,7,0.7,2.726681292,4.256103812,2.578542073
2103,26,7,0.7,2.735181292,4.316111582,2.582497273
2103,26,7,0.7,2.664610292,4.710885602,2.586452473
2103,26,7,0.7,2.630098292,4.145564732,2.590407673
2103,26,7,0.7,2.702214292,4.461387872,2.605056006
2103,26,7,0.7,2.749089292,4.537179932,2.61970434
2103,26,7,0.7,2.741877292,4.502442722,2.625930006
2103,26,7,0.7,2.735438292,4.739314982,2.632155673
2103,26,7,0.7,2.738014292,4.622458262,2.63838134
2103,26,7,0.7,2.708910292,5.061455762,2.644607006
2103,26,7,0.7,2.919849292,4.991971532,2.655837229
2103,26,7,0.7,2.922167292,4.660354292,2.667067451
2103,26,7,0.7,2.833052292,4.761416912,2.676304192
2103,26,7,0.7,2.666671292,4.868797172,2.685540932
2103,26,7,0.7,2.759391292,4.909852022,2.694777673
2103,26,7,0.7,2.742135292,4.657195472,2.709426006
2103,26,7,0.7,2.891260292,4.941440222,2.72407434
2103,26,7,0.7,2.916500292,4.600346522,2.724806806
2103,26,7,0.7,2.898214292,5.146724282,2.725539273
2103,26,7,0.7,2.927575292,4.985653892,2.72627174
2103,26,7,0.7,2.947407292,5.153041922,2.727004206
2103,26,7,0.7,2.888684292,4.995130352,2.718093029
2103,26,7,0.7,2.896926292,5.086716512,2.709181851
2103,26,7,0.7,3.004842292,5.178302672,2.700270673
2103,26,7,0.7,2.964921292,5.367802442,2.683790673
2103,26,7,0.7,2.937620292,5.102510612,2.639845673
2103,26,7,0.7,2.859838292,5.734156892,2.617873673
2103,26,7,0.7,3.105289292,5.187779132,2.579420673
2103,26,7,0.7,2.969042292,5.680466762,2.562941673
2103,26,7,0.7,3.097563292,5.513078732,2.513502673
2103,26,7,0.7,3.097048292,5.333055422,2.475050673
2103,26,7,0.7,2.918303292,5.693095502,2.447584673
2103,26,7,0.7,3.183329292,6.053135582,2.398146673
2103,26,7,0.7,3.103744292,6.413175662,2.376173673
2103,26,7,0.7,3.154998292,6.027868292,2.326735673
2103,26,7,0.7,3.039870292,5.952076232,2.304762673
2103,26,7,0.7,3.102456292,5.993131082,2.244337673
2103,26,7,0.7,3.103744292,5.655196202,2.205885673
2103,26,7,0.7,3.138772292,6.109987802,2.145460673
2103,26,7,0.7,3.103744292,6.305798672,2.107008673
2103,26,7,0.7,3.170194292,6.501609542,2.030104673
2103,26,7,0.7,3.214494292,6.697420412,1.991652673
2103,26,7,0.7,3.033431292,6.473183432,1.925734673
2103,26,7,0.7,3.255960292,6.697420412,1.837843673
2103,26,7,0.7,3.184359292,6.785847752,1.810377673
2103,26,7,0.7,3.177921292,6.741634082,1.749953673
2103,26,7,0.7,3.480808292,7.120623812,1.716994673
2103,26,7,0.7,3.254930292,6.804800672,1.634596673
2103,26,7,0.7,3.320865292,7.455390062,1.590651673
2103,26,7,0.7,3.184875292,7.480660622,1.508253673
2103,26,7,0.7,3.274505292,7.171155122,1.453322673
2103,26,7,0.7,3.497292292,7.502762552,1.348952673
2103,26,7,0.7,3.352802292,7.376439182,1.299513673
2103,26,7,0.7,3.365422292,7.682785862,1.193312673
2103,26,7,0.7,3.383966292,7.764898832,1.087111673
2103,26,7,0.7,3.387572292,7.847011802,0.978469007
2103,26,7,0.7,3.401738292,7.929124772,0.86982634
2103,26,7,0.7,3.365937292,8.131259822,0.749383784
2103,26,7,0.7,3.403798292,8.055457952,0.628941229
2103,26,7,0.7,3.394526292,8.481820172,0.49540971
2103,26,7,0.7,3.361044292,8.510239742,0.361878192
2103,26,7,0.7,3.447068292,9.571407062,0.223984019
2103,26,7,0.7,3.561166292,9.940930142,0.086089846
2103,26,7,0.7,3.483126292,10.5378294,-0.051427545
2103,26,7,0.7,3.533093292,10.69574097,-0.188944936
2103,26,7,0.7,3.542622292,10.71785271,-0.326462327
2103,26,7,0.7,3.566575292,10.60731363,-0.474778327
2103,26,7,0.7,3.549576292,10.43676678,-0.540696327
2103,26,7,0.7,3.514548292,10.21568862,-0.623093327
2103,26,7,0.7,3.603664292,10.38623547,-0.645066327
2103,26,7,0.7,3.624011292,10.4715138,-0.637741994
2103,26,7,0.7,3.623496292,11.30528532,-0.63041766
2103,26,7,0.7,3.825422292,11.10316008,-0.576706882
2103,26,7,0.7,3.577908292,11.02841442,-0.522996105
2103,26,7,0.7,3.627101292,10.95366876,-0.466640179
2103,26,7,0.7,3.859162292,10.8789231,-0.410284253
2103,26,7,0.7,3.769016292,10.54414704,-0.353046944
2103,26,7,0.7,3.645388292,10.7652252,-0.295809636
2103,26,7,0.7,3.695612292,10.93261323,-0.212643533
2103,26,7,0.7,3.696900292,11.23895991,-0.12947743
2103,26,7,0.7,3.729867292,10.99103914,-0.021189062
2103,26,7,0.7,3.734246292,10.74311837,0.087099306
2103,26,7,0.7,3.734761292,10.49519759,0.195387673
2103,26,7,0.7,3.822589292,10.24727682,0.387648673
2103,26,7,0.7,3.793484292,10.81259769,0.486525673
2103,26,7,0.7,3.856844292,10.36202439,0.706251673
2103,26,7,0.7,3.820270292,9.911451092,0.810622673
2103,26,7,0.7,4.094571292,9.460877792,0.944289673
2103,26,7,0.7,3.786530292,10.00408692,1.077956673
2103,26,7,0.7,3.822073292,10.244118,1.177443673
2103,26,7,0.7,3.820786292,10.15568085,1.276930673
2103,26,7,0.7,3.959610292,11.36213427,1.335728006
2103,26,7,0.7,3.922522292,11.15685021,1.39452534
2103,26,7,0.7,3.812029292,10.79049576,1.393982784
2103,26,7,0.7,3.938748292,10.73048799,1.393440229
2103,26,7,0.7,3.892902292,10.98630336,1.331003377
2103,26,7,0.7,3.883115292,11.11262673,1.268566525
2103,26,7,0.7,3.869207292,11.73796518,1.165356908
2103,26,7,0.7,4.063922292,12.07589025,1.06214729
2103,26,7,0.7,4.182142292,12.3496056,0.930698085
2103,26,7,0.7,3.889296292,12.62332095,0.799248879
2103,26,7,0.7,4.298559292,12.8970363,0.66571081
2103,26,7,0.7,4.106677292,13.07390079,0.532172742
2103,26,7,0.7,4.050786292,13.50026301,0.398634673
2103,26,7,0.7,3.911962292,13.05810669,0.330885673
2103,26,7,0.7,4.019364292,12.88440102,0.263136673
2103,26,7,0.7,3.878221292,12.49909365,0.235060673
2103,26,7,0.7,4.044862292,12.81807561,0.206984673
2103,26,7,0.7,4.065725292,12.74860119,0.221429673
2103,26,7,0.7,4.054907292,12.97598718,0.235874673
2103,26,7,0.7,4.091223292,13.26654957,0.273648673
2103,26,7,0.7,3.956519292,13.857141,0.311422673
2103,26,7,0.7,3.981503292,13.57605507,0.378945673
2103,26,7,0.7,4.246017292,13.36445337,0.446468673
2103,26,7,0.7,4.102556292,13.108638,0.54404934
2103,26,7,0.7,4.184460292,12.92229705,0.641630007
2103,26,7,0.7,4.138872292,13.44341406,0.767540895
2103,26,7,0.7,4.340542292,12.6538464,0.893451784
2103,26,7,0.7,4.139129292,12.07273143,1.026974747
2103,26,7,0.7,4.214337292,12.61595037,1.16049771
2103,26,7,0.7,4.200686292,12.39487221,1.258106031
2103,26,7,0.7,4.227988292,12.85282263,1.355714352
2103,26,7,0.7,4.204550292,12.63490329,1.453322673
2103,26,7,0.7,4.127282292,13.07074197,1.557692673
2103,26,7,0.7,4.288772292,13.0265283,1.662062673
2103,26,7,0.7,4.172612292,12.35697618,1.702346006
2103,26,7,0.7,4.389478292,12.72017181,1.74262934
2103,26,7,0.7,4.404674292,12.9949401,1.750563784
2103,26,7,0.7,4.315816292,13.98662319,1.758498229
2103,26,7,0.7,4.298817292,14.40035994,1.766636377
2103,26,7,0.7,4.311437292,14.25507384,1.774774525
2103,26,7,0.7,4.350587292,13.90135467,1.782912673
2103,26,7,0.7,4.359344292,13.77502149,1.749953673
2103,26,7,0.7,4.254774292,14.13190929,1.716994673
2103,26,7,0.7,4.327149292,14.476152,1.618117673
2103,26,7,0.7,4.618966292,14.88672993,1.557692673
2103,26,7,0.7,4.562302292,15.16464723,1.409376673
2103,26,7,0.7,4.345693292,15.62259765,1.337965673
2103,26,7,0.7,4.597588292,15.75207984,1.206129673
2103,26,7,0.7,4.513108292,15.91630905,1.140211673
2103,26,7,0.7,4.460823292,15.99211092,1.008375673
2103,26,7,0.7,4.257607292,15.91315023,0.936964673
2103,26,7,0.7,4.493018292,15.47100372,0.832594673
2103,26,7,0.7,4.508472292,15.72050145,0.783156673
2103,26,7,0.7,4.509760292,16.03000695,0.777663423
2103,26,7,0.7,4.528046292,16.16581659,0.772170173
2103,26,7,0.7,4.341057292,16.12791075,0.766676923
2103,26,7,0.7,4.421158292,16.33951245,0.761183673
2103,26,7,0.7,4.488124292,16.12475193,0.799635673
2103,26,7,0.7,4.942980292,15.25308438,0.887526673
2103,26,7,0.7,4.561272292,14.98779255,0.942457673
2103,26,7,0.7,4.568741292,15.4678449,1.030348673
2103,26,7,0.7,4.524183292,15.25308438,1.068800673
2103,26,7,0.7,4.614845292,15.68576424,1.145705673
2103,26,7,0.7,4.610209292,16.23844983,1.195143673
2103,26,7,0.7,4.691083292,15.39836067,1.299513673
2103,26,7,0.7,4.817546292,16.03000695,1.354445673
2103,26,7,0.7,4.728945292,16.19739498,1.436842673
2103,26,7,0.7,4.906148292,15.71734263,1.486281673
2103,26,7,0.7,4.478595292,15.8752542,1.61262434
2103,26,7,0.7,4.514911292,15.48048018,1.738967006
2103,26,7,0.7,4.658888292,15.64469958,1.814040229
2103,26,7,0.7,4.816001292,15.49626447,1.889113451
2103,26,7,0.7,4.742853292,16.14370485,1.906813525
2103,26,7,0.7,4.801578292,16.7532492,1.924513599
2103,26,7,0.7,4.781230292,16.95537444,1.921258624
2103,26,7,0.7,4.825016292,17.19855453,1.918003648
2103,26,7,0.7,4.824501292,17.74493229,1.914748673
2103,26,7,0.7,4.710143292,18.35131782,1.848830673
